date,jour_semaine,mois,jour_mois,semaine_annee,est_weekend,citernes_disponibles,nb_dessertes,temperature,temps_chargement_moyen,taux_remplissage,tonnage,cout_unitaire_mad,cout_total_mad,co2_kg,anomalie
2025-01-21,1,1,21,4,0,60,15,18.6,42.4,0.91,5429.3,18.71,101582.2,4180.6,0
2025-01-22,2,1,22,4,0,61,12,19.2,45.0,0.879,3580.0,19.03,68127.4,2756.6,0
2025-01-23,3,1,23,4,0,70,8,17.1,53.3,0.926,2752.7,20.03,55136.58,2119.6,0
2025-01-24,4,1,24,4,0,75,15,17.9,50.5,0.872,6840.9,18.15,124162.33,5267.5,0
2025-01-25,5,1,25,4,1,70,11,19.0,42.8,0.877,2477.7,18.83,46655.09,1907.8,0
2025-01-26,6,1,26,4,1,60,15,20.4,44.0,0.867,2496.1,18.27,45603.75,1922.0,0
2025-01-27,0,1,27,5,0,66,14,18.6,48.3,0.929,5098.0,19.41,98952.18,3925.5,0
2025-01-28,1,1,28,5,0,71,8,18.8,43.8,0.958,5149.1,19.05,98090.36,3964.8,1
2025-01-29,2,1,29,5,0,75,15,20.9,52.3,0.86,5875.8,18.0,105764.4,4524.4,0
2025-01-30,3,1,30,5,0,72,9,20.1,37.7,0.933,3782.8,18.96,71721.89,2912.8,0
2025-01-31,4,1,31,5,0,60,11,18.4,38.2,0.94,4404.7,18.79,82764.31,3391.6,0
2025-02-01,5,2,1,5,1,60,15,18.4,45.9,0.894,3348.0,17.93,60029.64,2578.0,0
2025-02-02,6,2,2,5,1,65,13,22.0,43.6,0.926,2637.8,19.52,51489.86,2031.1,0
2025-02-03,0,2,3,6,0,71,14,17.6,44.8,0.937,7047.4,18.84,132773.02,5426.5,0
2025-02-04,1,2,4,6,0,71,13,20.3,49.4,0.966,6221.1,17.44,108495.98,4790.2,0
2025-02-05,2,2,5,6,0,66,8,18.8,41.9,0.917,2552.2,18.77,47904.79,1965.2,0
2025-02-06,3,2,6,6,0,67,13,21.3,40.1,0.969,5800.4,17.7,102667.08,4466.3,0
2025-02-07,4,2,7,6,0,61,9,22.7,51.4,0.934,3043.1,17.84,54288.9,2343.2,0
2025-02-08,5,2,8,6,1,66,9,21.7,46.5,0.96,2037.8,21.2,43201.36,1569.1,0
2025-02-09,6,2,9,6,1,72,11,23.9,50.9,0.945,2476.2,19.03,47122.09,1906.7,0
2025-02-10,0,2,10,7,0,71,9,21.7,39.9,0.854,3681.8,17.19,63290.14,2835.0,0
2025-02-11,1,2,11,7,0,72,13,20.7,45.5,0.854,5089.4,19.26,98021.84,3918.8,0
2025-02-12,2,2,12,7,0,71,12,24.7,45.8,0.876,4549.9,18.65,84855.63,3503.4,0
2025-02-13,3,2,13,7,0,72,15,26.5,56.1,0.926,6435.4,18.63,119891.5,4955.3,0
2025-02-14,4,2,14,7,0,60,15,21.0,35.0,0.859,6247.1,19.11,119382.08,4810.3,0
2025-02-15,5,2,15,7,1,64,8,21.3,43.1,0.88,1606.7,18.78,30173.83,1237.2,0
2025-02-16,6,2,16,7,1,67,12,22.9,54.9,0.923,2019.0,18.16,36665.04,1554.6,0
2025-02-17,0,2,17,8,0,75,10,21.8,56.2,0.862,3826.1,17.78,68028.06,2946.1,0
2025-02-18,1,2,18,8,0,60,13,18.4,37.2,0.924,5379.8,18.59,100010.48,4142.4,0
2025-02-19,2,2,19,8,0,74,9,22.6,59.1,0.953,3735.4,18.82,70300.23,2876.3,0
2025-02-20,3,2,20,8,0,67,15,22.2,45.4,0.92,5934.6,18.96,112520.02,4569.6,0
2025-02-21,4,2,21,8,0,61,10,21.5,57.7,0.915,3236.3,18.91,61198.43,2492.0,0
2025-02-22,5,2,22,8,1,60,15,21.8,46.2,0.888,3320.6,19.09,63390.25,2556.9,0
2025-02-23,6,2,23,8,1,63,9,24.8,53.7,0.955,1610.4,18.94,30500.98,1240.0,0
2025-02-24,0,2,24,9,0,68,11,24.1,40.7,0.947,5590.4,18.58,103869.63,4304.6,0
2025-02-25,1,2,25,9,0,61,8,21.8,52.0,0.962,2633.6,19.27,50749.47,2027.9,0
2025-02-26,2,2,26,9,0,72,14,22.4,46.6,0.958,6747.0,18.51,124886.97,5195.2,0
2025-02-27,3,2,27,9,0,65,12,22.8,50.1,0.851,3628.4,18.41,66798.84,2793.9,0
2025-02-28,4,2,28,9,0,75,11,27.2,51.4,0.904,2350.6,17.65,41488.09,1810.0,1
2025-03-01,5,3,1,9,1,66,15,22.1,44.9,0.916,4075.2,18.4,74983.68,3137.9,0
2025-03-02,6,3,2,9,1,70,10,24.8,53.1,0.862,2004.2,18.15,36376.23,1543.2,0
2025-03-03,0,3,3,10,0,69,8,24.8,50.2,0.86,2963.9,17.51,51897.89,2282.2,0
2025-03-04,1,3,4,10,0,63,8,22.4,53.2,0.86,2342.4,19.53,45747.07,1803.6,0
2025-03-05,2,3,5,10,0,70,9,23.2,45.0,0.906,3815.7,17.92,68377.34,2938.1,0
2025-03-06,3,3,6,10,0,60,10,24.9,45.5,0.895,3700.6,18.22,67424.93,2849.5,0
2025-03-07,4,3,7,10,0,65,12,24.1,50.9,0.969,5449.9,17.96,97880.2,4196.4,0
2025-03-08,5,3,8,10,1,63,8,28.6,47.4,0.933,1894.1,17.96,34018.04,1458.5,0
2025-03-09,6,3,9,10,1,65,10,23.9,50.9,0.924,1872.6,18.08,33856.61,1441.9,0
2025-03-10,0,3,10,11,0,69,15,26.3,34.1,0.859,8351.7,19.81,165447.18,6430.8,0
2025-03-11,1,3,11,11,0,60,12,25.4,50.8,0.87,4027.6,19.78,79665.93,3101.3,0
2025-03-12,2,3,12,11,0,67,13,24.2,43.3,0.947,5488.7,19.45,106755.22,4226.3,0
2025-03-13,3,3,13,11,0,65,10,24.9,46.7,0.906,3616.7,18.08,65389.94,2784.9,0
2025-03-14,4,3,14,11,0,75,14,25.0,46.8,0.97,9732.2,18.53,180337.67,7493.8,0
2025-03-15,5,3,15,11,1,64,12,23.9,35.4,0.865,3029.2,18.86,57130.71,2332.5,0
2025-03-16,6,3,16,11,1,73,8,26.7,54.2,0.893,1829.7,17.98,32898.01,1408.9,0
2025-03-17,0,3,17,12,0,61,13,24.8,54.3,0.952,5657.4,19.73,111620.5,4356.2,0
2025-03-18,1,3,18,12,0,73,10,22.6,43.4,0.853,4786.5,19.46,93145.29,3685.6,0
2025-03-19,2,3,19,12,0,61,10,23.8,42.9,0.852,3286.4,17.27,56756.13,2530.5,0
2025-03-20,3,3,20,12,0,73,14,26.5,44.2,0.892,8072.5,18.55,149744.88,6215.8,0
2025-03-21,4,3,21,12,0,71,13,26.7,47.0,0.964,7448.2,18.46,137493.77,5735.1,0
2025-03-22,5,3,22,12,1,67,12,24.8,47.4,0.889,2680.2,18.97,50843.39,2063.8,0
2025-03-23,6,3,23,12,1,62,14,22.6,47.9,0.891,2848.6,19.17,54607.66,2193.4,0
2025-03-24,0,3,24,13,0,72,15,24.0,42.1,0.855,7424.0,17.94,133186.56,5716.5,0
2025-03-25,1,3,25,13,0,72,13,22.0,43.9,0.894,6448.7,18.52,119429.92,4965.5,0
2025-03-26,2,3,26,13,0,68,9,26.0,52.2,0.86,3152.1,18.35,57841.04,2427.1,0
2025-03-27,3,3,27,13,0,60,15,23.5,48.5,0.875,5742.3,16.89,96987.45,4421.6,0
2025-03-28,4,3,28,13,0,69,11,23.7,31.8,0.94,7083.6,18.72,132604.99,5454.4,0
2025-03-29,5,3,29,13,1,73,10,23.0,45.5,0.904,3127.8,18.64,58302.19,2408.4,0
2025-03-30,6,3,30,13,1,68,14,24.6,44.7,0.889,3534.5,17.74,62702.03,2721.6,0
2025-03-31,0,3,31,14,0,71,8,25.4,50.5,0.931,5918.9,19.54,115655.31,4557.6,1
2025-04-01,1,4,1,14,0,61,14,24.1,54.5,0.865,5235.8,17.53,91783.57,4031.6,0
2025-04-02,2,4,2,14,0,69,15,21.2,50.6,0.968,8653.7,18.89,163468.39,6663.3,0
2025-04-03,3,4,3,14,0,65,12,24.1,41.2,0.869,5032.3,17.9,90078.17,3874.9,0
2025-04-04,4,4,4,14,0,74,15,20.0,49.1,0.968,11386.8,17.86,203368.25,8767.8,0
2025-04-05,5,4,5,14,1,71,10,25.5,46.6,0.881,2908.6,17.82,51831.25,2239.6,0
2025-04-06,6,4,6,14,1,68,9,29.1,54.7,0.884,1913.4,18.9,36163.26,1473.3,0
2025-04-07,0,4,7,15,0,65,11,25.5,28.6,0.879,5771.4,17.87,103134.92,4444.0,0
2025-04-08,1,4,8,15,0,75,13,22.7,46.6,0.908,7983.2,18.53,147928.7,6147.1,0
2025-04-09,2,4,9,15,0,61,15,23.7,49.6,0.932,6728.1,19.51,131265.23,5180.6,0
2025-04-10,3,4,10,15,0,67,13,21.4,38.8,0.962,7120.7,18.08,128742.26,5482.9,0
2025-04-11,4,4,11,15,0,68,9,25.9,54.5,0.951,4681.4,18.21,85248.29,3604.7,0
2025-04-12,5,4,12,15,1,73,11,24.2,43.1,0.948,4540.7,19.95,90586.96,3496.3,0
2025-04-13,6,4,13,15,1,63,8,24.3,50.7,0.948,1548.1,17.79,27540.7,1192.0,0
2025-04-14,0,4,14,16,0,62,12,26.9,39.9,0.91,5842.9,18.35,107217.22,4499.0,0
2025-04-15,1,4,15,16,0,66,9,26.5,45.6,0.925,3615.7,19.3,69783.01,2784.1,0
2025-04-16,2,4,16,16,0,75,11,25.7,52.5,0.914,5859.8,18.67,109402.47,4512.0,0
2025-04-17,3,4,17,16,0,65,8,22.5,40.1,0.939,3549.5,18.17,64494.42,2733.1,0
2025-04-18,4,4,18,16,0,69,12,23.9,50.0,0.949,7046.9,17.81,125505.29,5426.1,0
2025-04-19,5,4,19,16,1,72,15,23.7,41.7,0.937,5899.7,19.45,114749.16,4542.8,0
2025-04-20,6,4,20,16,1,62,11,21.3,46.7,0.891,2221.9,19.55,43438.14,1710.9,0
2025-04-21,0,4,21,17,0,74,9,24.8,60.9,0.923,4712.5,19.01,89584.63,3628.6,0
2025-04-22,1,4,22,17,0,63,12,24.9,47.7,0.868,4760.0,19.44,92534.4,3665.2,0
2025-04-23,2,4,23,17,0,65,10,24.7,45.6,0.961,2022.1,18.41,37226.86,1557.0,1
2025-04-24,3,4,24,17,0,65,14,29.4,48.1,0.898,6011.4,18.2,109407.48,4628.8,0
2025-04-25,4,4,25,17,0,63,8,25.9,31.1,0.96,4354.7,17.59,76599.17,3353.1,0
2025-04-26,5,4,26,17,1,61,10,21.2,43.4,0.904,2573.5,18.31,47120.78,1981.6,0
2025-04-27,6,4,27,17,1,66,11,25.7,44.1,0.893,2498.1,19.29,48188.35,1923.5,0
2025-04-28,0,4,28,18,0,71,9,22.0,48.1,0.965,5028.1,17.73,89148.21,3871.6,0
2025-04-29,1,4,29,18,0,71,14,24.0,45.9,0.921,7962.3,18.48,147143.3,6131.0,0
2025-04-30,2,4,30,18,0,70,15,23.7,45.9,0.873,7444.9,18.12,134901.59,5732.6,0
2025-05-01,3,5,1,18,0,67,10,26.6,29.0,0.903,5524.1,17.05,94185.91,4253.6,0
2025-05-02,4,5,2,18,0,74,11,24.3,43.5,0.964,8474.2,17.96,152196.63,6525.1,0
2025-05-03,5,5,3,18,1,73,9,22.9,44.6,0.869,3127.5,19.39,60642.22,2408.2,0
2025-05-04,6,5,4,18,1,60,8,22.1,40.6,0.931,1883.6,18.84,35487.02,1450.4,0
2025-05-05,0,5,5,19,0,60,11,22.8,43.6,0.879,5026.5,18.81,94548.46,3870.4,0
2025-05-06,1,5,6,19,0,70,15,26.7,39.0,0.875,9072.8,18.28,165850.78,6986.1,0
2025-05-07,2,5,7,19,0,66,9,19.9,55.6,0.957,3632.3,19.23,69849.13,2796.9,0
2025-05-08,3,5,8,19,0,69,14,25.8,34.5,0.882,8968.1,19.73,176940.61,6905.4,0
2025-05-09,4,5,9,19,0,73,8,19.6,41.7,0.964,5742.4,18.78,107842.27,4421.6,0
2025-05-10,5,5,10,19,1,69,13,24.9,44.8,0.946,5066.9,18.46,93534.97,3901.5,0
2025-05-11,6,5,11,19,1,73,8,27.2,49.0,0.881,2181.2,18.37,40068.64,1679.5,0
2025-05-12,0,5,12,20,0,63,9,20.2,45.6,0.883,3794.8,17.82,67623.34,2922.0,0
2025-05-13,1,5,13,20,0,65,9,26.7,49.3,0.95,4012.4,19.19,76997.96,3089.5,0
2025-05-14,2,5,14,20,0,71,12,20.5,48.1,0.96,6918.8,17.6,121770.88,5327.5,0
2025-05-15,3,5,15,20,0,69,13,21.7,46.2,0.922,7754.2,17.52,135853.58,5970.7,0
2025-05-16,4,5,16,20,0,67,10,25.0,39.7,0.886,4705.2,20.34,95703.77,3623.0,0
2025-05-17,5,5,17,20,1,74,15,22.4,46.1,0.876,5939.0,18.59,110406.01,4573.0,0
2025-05-18,6,5,18,20,1,73,10,18.7,50.9,0.943,3273.3,19.74,64614.94,2520.4,0
2025-05-19,0,5,19,21,0,70,15,18.8,42.6,0.948,10719.3,19.18,205596.17,8253.9,0
2025-05-20,1,5,20,21,0,73,13,18.3,51.9,0.861,7261.7,18.93,137463.98,5591.5,0
2025-05-21,2,5,21,21,0,74,11,23.8,45.7,0.938,7092.5,19.26,136601.55,5461.2,0
2025-05-22,3,5,22,21,0,65,15,20.6,48.8,0.909,7285.4,18.65,135872.71,5609.8,0
2025-05-23,4,5,23,21,0,66,9,23.1,45.8,0.854,3539.7,19.24,68103.83,2725.6,0
2025-05-24,5,5,24,21,1,75,15,23.5,44.5,0.951,7217.4,18.14,130923.64,5557.4,0
2025-05-25,6,5,25,21,1,60,13,18.3,48.0,0.864,2856.6,18.16,51875.86,2199.6,0
2025-05-26,0,5,26,22,0,67,9,20.5,45.8,0.888,6587.5,18.64,122791.0,5072.4,1
2025-05-27,1,5,27,22,0,75,12,18.2,48.5,0.853,6647.2,19.25,127958.6,5118.3,0
2025-05-28,2,5,28,22,0,75,15,23.2,40.9,0.898,10384.5,18.25,189517.12,7996.1,0
2025-05-29,3,5,29,22,0,67,11,17.2,34.4,0.939,6096.3,18.3,111562.29,4694.2,0
2025-05-30,4,5,30,22,0,73,15,18.4,38.7,0.878,11241.4,18.66,209764.52,8655.9,0
2025-05-31,5,5,31,22,1,60,8,18.2,49.1,0.964,2253.9,18.35,41359.06,1735.5,0
2025-06-01,6,6,1,22,1,73,15,24.8,41.0,0.87,5403.3,18.84,101798.17,4160.5,0
2025-06-02,0,6,2,23,0,64,10,16.9,45.4,0.871,4265.6,18.11,77250.02,3284.5,0
2025-06-03,1,6,3,23,0,62,15,18.9,44.0,0.966,8820.8,18.1,159656.48,6792.0,0
2025-06-04,2,6,4,23,0,73,8,20.4,42.7,0.877,4329.0,17.44,75497.76,3333.3,0
2025-06-05,3,6,5,23,0,68,11,17.9,46.0,0.955,6822.8,18.23,124379.64,5253.6,0
2025-06-06,4,6,6,23,0,68,10,20.5,51.5,0.916,5577.5,17.94,100060.35,4294.7,0
2025-06-07,5,6,7,23,1,74,13,21.0,39.3,0.91,5891.3,18.66,109931.66,4536.3,0
2025-06-08,6,6,8,23,1,60,9,12.1,39.8,0.921,2164.5,19.23,41623.34,1666.7,0
2025-06-09,0,6,9,24,0,61,15,15.7,47.8,0.955,8544.6,19.28,164739.89,6579.3,0
2025-06-10,1,6,10,24,0,60,10,19.6,49.3,0.95,4781.9,19.32,92386.31,3682.1,0
2025-06-11,2,6,11,24,0,74,10,17.3,47.9,0.956,6427.9,18.6,119558.94,4949.5,0
2025-06-12,3,6,12,24,0,70,12,17.1,48.0,0.948,7392.2,19.39,143334.76,5692.0,0
2025-06-13,4,6,13,24,0,66,9,19.9,36.1,0.968,5247.3,19.02,99803.65,4040.4,0
2025-06-14,5,6,14,24,1,71,15,21.1,46.3,0.863,5157.1,19.6,101079.16,3971.0,0
2025-06-15,6,6,15,24,1,75,9,20.4,36.4,0.962,3584.6,18.64,66816.94,2760.1,0
2025-06-16,0,6,16,25,0,70,15,17.1,46.0,0.92,9915.2,17.43,172821.94,7634.7,0
2025-06-17,1,6,17,25,0,70,9,18.4,41.8,0.853,4467.8,18.45,82430.91,3440.2,0
2025-06-18,2,6,18,25,0,69,14,14.1,42.6,0.97,9266.1,16.96,157153.06,7134.9,0
2025-06-19,3,6,19,25,0,66,14,18.6,50.9,0.876,6179.1,18.11,111903.5,4757.9,0
2025-06-20,4,6,20,25,0,65,10,16.7,38.1,0.963,5947.3,17.75,105564.58,4579.4,0
2025-06-21,5,6,21,25,1,65,10,18.8,43.8,0.878,2569.5,19.51,50130.95,1978.5,0
2025-06-22,6,6,22,25,1,74,11,17.8,44.8,0.872,3474.4,18.82,65388.21,2675.3,0
2025-06-23,0,6,23,26,0,74,10,17.5,48.6,0.925,6598.9,19.0,125379.1,5081.2,0
2025-06-24,1,6,24,26,0,73,14,14.4,44.7,0.865,8741.1,19.76,172724.14,6730.6,0
2025-06-25,2,6,25,26,0,65,15,14.8,44.9,0.92,7418.3,18.04,133826.13,5712.1,0
2025-06-26,3,6,26,26,0,70,15,15.6,44.8,0.859,8309.6,16.8,139601.28,6398.4,0
2025-06-27,4,6,27,26,0,74,13,18.0,38.4,0.953,11223.9,18.47,207305.43,8642.4,0
2025-06-28,5,6,28,26,1,60,11,20.6,44.9,0.934,5531.8,18.52,102448.94,4259.5,1
2025-06-29,6,6,29,26,1,60,8,15.1,44.5,0.859,1515.2,18.3,27728.16,1166.7,0
2025-06-30,0,6,30,27,0,66,9,17.4,48.7,0.874,3730.6,19.15,71440.99,2872.6,0
2025-07-01,1,7,1,27,0,65,8,18.9,47.1,0.955,3608.2,18.94,68339.31,2778.3,0
2025-07-02,2,7,2,27,0,73,14,15.3,50.7,0.948,9375.9,18.02,168953.72,7219.4,0
2025-07-03,3,7,3,27,0,68,11,14.2,46.2,0.857,5275.9,18.16,95810.34,4062.4,0
2025-07-04,4,7,4,27,0,72,10,12.7,41.8,0.945,6282.1,20.0,125642.0,4837.2,0
2025-07-05,5,7,5,27,1,61,13,12.7,49.5,0.97,4073.4,18.58,75683.77,3136.5,0
2025-07-06,6,7,6,27,1,69,10,13.4,46.3,0.854,2390.1,17.33,41420.43,1840.4,0
2025-07-07,0,7,7,28,0,73,12,16.1,50.2,0.901,7515.3,17.47,131292.29,5786.8,0
2025-07-08,1,7,8,28,0,63,11,10.9,57.0,0.937,4617.6,18.47,85287.07,3555.6,0
2025-07-09,2,7,9,28,0,61,11,10.6,41.6,0.921,4983.9,19.47,97036.53,3837.6,0
2025-07-10,3,7,10,28,0,74,8,14.5,40.9,0.959,5352.6,18.03,96507.38,4121.5,0
2025-07-11,4,7,11,28,0,73,9,14.2,43.3,0.909,5813.7,18.24,106041.89,4476.5,0
2025-07-12,5,7,12,28,1,74,13,8.9,46.4,0.921,5163.4,17.72,91495.45,3975.8,0
2025-07-13,6,7,13,28,1,68,11,14.8,37.5,0.889,3273.9,18.74,61352.89,2520.9,0
2025-07-14,0,7,14,29,0,72,14,9.9,43.4,0.859,7619.5,17.6,134103.2,5867.0,0
2025-07-15,1,7,15,29,0,69,11,12.3,52.4,0.88,5241.9,19.1,100120.29,4036.3,0
2025-07-16,2,7,16,29,0,75,13,14.4,52.3,0.907,7564.2,18.8,142206.96,5824.4,0
2025-07-17,3,7,17,29,0,71,14,11.9,47.3,0.863,7198.4,18.47,132954.45,5542.8,0
2025-07-18,4,7,18,29,0,74,12,12.1,38.8,0.962,9832.4,17.1,168134.04,7570.9,0
2025-07-19,5,7,19,29,1,73,11,12.5,47.7,0.954,4584.5,16.47,75506.72,3530.1,0
2025-07-20,6,7,20,29,1,61,14,10.3,47.4,0.854,3020.8,17.77,53679.62,2326.0,0
2025-07-21,0,7,21,30,0,69,11,12.4,41.1,0.903,3002.5,18.65,55996.62,2311.9,1
2025-07-22,1,7,22,30,0,69,10,11.6,57.0,0.924,4808.4,19.24,92513.62,3702.5,0
2025-07-23,2,7,23,30,0,71,10,11.9,47.7,0.931,5117.5,17.7,90579.75,3940.5,0
2025-07-24,3,7,24,30,0,64,15,9.8,46.8,0.929,7406.0,18.73,138714.38,5702.6,0
2025-07-25,4,7,25,30,0,75,12,11.9,53.6,0.939,7933.6,19.17,152087.11,6108.9,0
2025-07-26,5,7,26,30,1,73,11,13.2,48.4,0.941,4375.8,19.46,85153.07,3369.4,0
2025-07-27,6,7,27,30,1,70,8,11.1,38.8,0.851,1861.7,17.49,32561.13,1433.5,0
2025-07-28,0,7,28,31,0,66,14,9.0,54.3,0.904,6097.7,17.57,107136.59,4695.2,0
2025-07-29,1,7,29,31,0,71,13,10.9,40.8,0.93,8003.3,20.08,160706.26,6162.5,0
2025-07-30,2,7,30,31,0,62,12,10.6,51.8,0.908,4691.5,17.35,81397.53,3612.5,0
2025-07-31,3,7,31,31,0,64,14,14.9,49.4,0.942,7021.6,19.1,134112.56,5406.6,0
2025-08-01,4,8,1,31,0,70,10,9.6,47.4,0.961,5572.0,18.3,101967.6,4290.4,0
2025-08-02,5,8,2,31,1,72,11,8.2,39.1,0.887,3426.5,19.47,66713.96,2638.4,0
2025-08-03,6,8,3,31,1,75,9,12.9,49.6,0.883,2271.2,18.34,41653.81,1748.8,0
2025-08-04,0,8,4,32,0,70,14,7.8,48.3,0.913,7474.6,18.72,139924.51,5755.4,0
2025-08-05,1,8,5,32,0,69,12,12.3,44.5,0.916,6371.2,18.2,115955.84,4905.8,0
2025-08-06,2,8,6,32,0,70,12,11.8,47.3,0.956,6347.2,18.04,114503.49,4887.3,0
2025-08-07,3,8,7,32,0,69,15,11.6,43.2,0.958,9420.9,18.01,169670.41,7254.1,0
2025-08-08,4,8,8,32,0,64,11,10.7,41.6,0.901,4882.7,18.7,91306.49,3759.7,0
2025-08-09,5,8,9,32,1,63,9,13.4,37.6,0.87,2233.3,18.79,41963.71,1719.6,0
2025-08-10,6,8,10,32,1,66,12,11.3,54.7,0.916,2415.7,17.54,42371.38,1860.1,0
2025-08-11,0,8,11,33,0,72,8,9.3,45.0,0.866,3385.1,19.65,66517.22,2606.5,0
2025-08-12,1,8,12,33,0,65,12,10.5,51.6,0.969,5392.5,19.64,105908.7,4152.2,0
2025-08-13,2,8,13,33,0,66,12,6.2,40.7,0.893,4701.2,17.96,84433.55,3619.9,0
2025-08-14,3,8,14,33,0,61,11,7.1,49.2,0.915,4305.0,19.08,82139.4,3314.8,0
2025-08-15,4,8,15,33,0,65,11,5.8,37.6,0.93,5388.0,18.79,101240.52,4148.8,0
2025-08-16,5,8,16,33,1,73,11,8.3,40.9,0.965,4577.3,17.86,81750.58,3524.5,0
2025-08-17,6,8,17,33,1,68,14,6.1,45.5,0.904,3691.5,19.37,71504.36,2842.5,0
2025-08-18,0,8,18,34,0,71,15,6.8,36.6,0.868,8527.9,18.6,158618.94,6566.5,0
2025-08-19,1,8,19,34,0,64,11,6.2,46.4,0.941,4593.0,18.39,84465.27,3536.6,0
2025-08-20,2,8,20,34,0,65,11,5.4,39.7,0.893,4118.5,18.86,77674.91,3171.2,0
2025-08-21,3,8,21,34,0,63,13,11.8,38.2,0.912,6233.5,19.09,118997.52,4799.8,0
2025-08-22,4,8,22,34,0,65,11,6.6,47.8,0.962,5059.5,18.43,93246.58,3895.8,0
2025-08-23,5,8,23,34,1,62,13,8.4,48.6,0.887,5319.7,17.97,95595.01,4096.2,1
2025-08-24,6,8,24,34,1,61,13,7.2,46.0,0.949,3076.6,19.07,58670.76,2369.0,0
2025-08-25,0,8,25,35,0,73,15,5.7,48.2,0.91,9156.5,18.29,167472.38,7050.5,0
2025-08-26,1,8,26,35,0,64,9,8.0,45.3,0.902,3343.3,17.12,57237.3,2574.3,0
2025-08-27,2,8,27,35,0,61,12,7.4,40.2,0.876,4691.9,19.35,90788.26,3612.8,0
2025-08-28,3,8,28,35,0,62,14,5.4,44.6,0.969,6803.1,18.26,124224.61,5238.4,0
2025-08-29,4,8,29,35,0,68,14,5.5,42.5,0.865,7110.2,18.29,130045.56,5474.9,0
2025-08-30,5,8,30,35,1,75,15,6.6,40.6,0.97,6812.3,19.33,131681.76,5245.5,0
2025-08-31,6,8,31,35,1,63,12,7.5,58.7,0.901,2141.9,18.34,39282.45,1649.3,0
2025-09-01,0,9,1,36,0,66,10,8.8,43.1,0.938,4042.6,16.69,67470.99,3112.8,0
2025-09-02,1,9,2,36,0,65,13,8.0,40.2,0.866,4715.8,18.63,87855.35,3631.2,0
2025-09-03,2,9,3,36,0,64,9,4.2,44.8,0.916,2952.3,18.39,54292.8,2273.3,0
2025-09-04,3,9,4,36,0,66,12,3.7,44.8,0.889,4156.1,19.7,81875.17,3200.2,0
2025-09-05,4,9,5,36,0,68,12,4.3,31.3,0.944,7247.4,19.23,139367.5,5580.5,0
2025-09-06,5,9,6,36,1,60,9,2.8,42.6,0.951,2160.4,18.08,39060.03,1663.5,0
2025-09-07,6,9,7,36,1,61,15,6.4,49.8,0.924,3049.4,17.97,54797.72,2348.0,0
2025-09-08,0,9,8,37,0,62,12,6.0,55.3,0.932,4360.3,18.63,81232.39,3357.4,0
2025-09-09,1,9,9,37,0,67,10,4.2,52.8,0.886,3058.6,18.04,55177.14,2355.1,0
2025-09-10,2,9,10,37,0,66,10,4.8,42.4,0.862,3099.9,19.0,58898.1,2386.9,0
2025-09-11,3,9,11,37,0,75,9,6.8,52.9,0.896,3867.8,18.32,70858.1,2978.2,0
2025-09-12,4,9,12,37,0,73,11,6.9,52.3,0.914,5535.3,19.15,106001.0,4262.2,0
